dataset,lightgcn_recall,lightgcn_ndcg,lightgcn_arhr,full_recall,full_ndcg,full_arhr,prop_recall,prop_ndcg,prop_arhr,delta_recall_pct,delta_ndcg_pct,delta_arhr_pct
ciaodvd,0.03702362940023619,0.024531135917515753,0.017852394769701192,0.040217546321410516,0.028435043826701766,0.021565403205538,0.03892517418014815,0.027205049355183985,0.02046011330880011,8.6,15.9,20.8
epinions,0.021746614411975597,0.020219459911733316,0.011359269962734224,0.023601790389445303,0.022262274437062888,0.012476689458478461,0.02227969724686672,0.02062400445304731,0.0115697829546267,8.5,10.1,9.8
beidian,0.0592896174863388,0.03717210771878124,0.029977231329690348,0.060655737704918035,0.03903645014871547,0.03192622950819672,0.05546448087431694,0.035827192294170584,0.029371584699453553,2.3,5.0,6.5
foursquare-nyc,0.021301010767174913,0.07280132964948867,0.011709602574145054,0.02237034426622505,0.07707239051427568,0.012484341778380913,0.02188707294990072,0.07317138738657727,0.011834224011820195,5.0,5.9,6.6
foursquare-tky,0.05066867860703302,0.19316605700067513,0.02954435093340128,0.052529832253456796,0.1981747913092696,0.030505639551817006,0.05104047059779985,0.1925821521997537,0.029470206384717663,3.7,2.6,3.3
gowalla,0.08584985686129974,0.13349382034145996,0.05138446439520092,0.08605700436658725,0.134425253867478,0.051629411463517405,0.08568721758457772,0.13357223845060492,0.05127419463004532,0.2,0.7,0.5
