dataset,lightgcn_recall,lightgcn_ndcg,lightgcn_arhr,full_recall,full_ndcg,full_arhr,prop_recall,prop_ndcg,prop_arhr,delta_recall_pct,delta_ndcg_pct,delta_arhr_pct
ciaodvd,0.02450132438347954,0.019586426227910472,0.015050855150518816,0.02849310003670527,0.023948717759712114,0.01891924281313919,0.025050886837129156,0.021717189077555023,0.017311066766770862,16.3,22.3,25.7
epinions,0.014507120478824784,0.018173734478248302,0.009709842104853227,0.0165589167051974,0.020446120340455745,0.01089392818381258,0.014852046172915053,0.018459570633788246,0.009893774433509145,14.1,12.5,12.2
beidian,0.03879781420765027,0.028873611320258015,0.025455373406193076,0.04371584699453552,0.03213596850312305,0.02814207650273224,0.03961748633879782,0.029361474304254943,0.025819672131147543,12.7,11.3,10.6
foursquare-nyc,0.015020635185524144,0.08156533961339539,0.010288933242177032,0.016122693569458436,0.08602222159395226,0.011083375219634352,0.015408099247929503,0.08062142303203515,0.010362261367921418,7.3,5.5,7.7
foursquare-tky,0.03738808977421292,0.2253280444677756,0.026538267819203012,0.03912471513775092,0.23218638713966713,0.027480981165229942,0.03748805016743251,0.22386379481277327,0.02640517074992873,4.6,3.0,3.6
gowalla,0.0651170449461464,0.14450671919993754,0.046677071441295945,0.06532190963608969,0.14541170138956303,0.046936602519565725,0.06492451724306847,0.1443205250367013,0.046557286205650285,0.3,0.6,0.6
