dataset,lightgcn_recall,lightgcn_ndcg,lightgcn_arhr,full_recall,full_ndcg,full_arhr,prop_recall,prop_ndcg,prop_arhr,delta_recall_pct,delta_ndcg_pct,delta_arhr_pct
ciaodvd,0.06328979015730585,0.03337598376451507,0.02135114411650069,0.06488659674737174,0.036614609421322684,0.024772797419160747,0.06310708637363872,0.03515077583536441,0.023670541863399817,2.5,9.7,16.0
epinions,0.03622024921287435,0.02482303792545369,0.013253056357446533,0.03768948812326801,0.02659327856734415,0.014340315922127036,0.03683736894290902,0.025119400543874477,0.013487300771970374,4.1,7.1,8.2
beidian,0.09344262295081968,0.04813182989185391,0.034451708734495615,0.09562841530054644,0.05013944847740622,0.036388021510972327,0.0907103825136612,0.04720961802065397,0.03406334027235667,2.3,4.2,5.6
foursquare-nyc,0.032097052969868325,0.06112562092942142,0.013112519589189306,0.033404737617162415,0.0634569977668939,0.013924569511232358,0.03235557799680652,0.0606521836002168,0.013201131343755113,4.1,3.8,6.2
foursquare-tky,0.07259982277827648,0.1536778682339887,0.032461324461267434,0.07453562660827497,0.15701238038929008,0.03340293891371426,0.07394616682475492,0.15463888061545153,0.03250503207384025,2.7,2.2,2.9
gowalla,0.12266400254255144,0.13448387672465267,0.056224424390168906,0.12282788288977439,0.1350642656145259,0.056482975720566576,0.1228190834359027,0.1345692502327518,0.05616873841406318,0.1,0.4,0.5
