dataset,method,tau,layers,selection,best_epoch,label,recall@3,ndcg@3,arhr@3,recall@5,ndcg@5,arhr@5,recall@10,ndcg@10,arhr@10,recall@20,ndcg@20,arhr@20,recall@50,ndcg@50,arhr@50
foursquare-nyc,hccf,,,val-best-recall@20,50,hf__foursquare-nyc__hccf__Axav_kr0.25__val,0.011053499430986718,0.06581146837798034,0.007181250580801034,0.014600024912650897,0.055762198099832384,0.00798823728241409,0.023088343525384095,0.04576563733013676,0.009101646625624722,0.035054272834041625,0.0423676615277731,0.00991379107826989,0.05764548540570399,0.05114109872382353,0.010622900869031495
foursquare-nyc,hccf,,,val-best-recall@20,160,hf__foursquare-nyc__hccf__Axav_hyp50__val,0.00942004404419052,0.05392124224308559,0.006592081324126009,0.013950012948305017,0.04824029765085163,0.007599286936731115,0.021457504441214578,0.040559036584988134,0.008586061465190954,0.03222947074213695,0.038501163687273,0.009331444023960356,0.054680778890846965,0.04776157899032948,0.01003517046814893
foursquare-nyc,hccf,,,test-frame,80,hccf__foursquare-nyc,3.419855682090216e-05,0.00027339049950680076,,3.419855682090216e-05,0.0001975865787022415,,0.0001776091206323133,0.00037462803861976646,,0.0005816012299193121,0.0005502162704689364,,0.0013388759360590634,0.0008781954034270724,
foursquare-nyc,hccf,,,test-frame,80,hccf__foursquare-nyc,3.419855682090216e-05,0.00027339049950680076,,3.419855682090216e-05,0.0001975865787022415,,0.0001776091206323133,0.0003792765583605931,,0.0005816012299193121,0.0005535631632623648,,0.0013388759360590634,0.0008806035570067813,
foursquare-nyc,hccf,,,test-frame,600,hccf__foursquare-nyc__clw0.1,0.0064076410459196695,0.032554848587834265,,0.009046022130816903,0.02949498918879148,,0.014731222634666478,0.026242278714977262,,0.022659219212596216,0.025387066651701803,,0.03623931538162861,0.03105931486478978,
foursquare-nyc,hccf,,,test-frame,600,hccf__foursquare-nyc__clw1e-05,0.006084315101031125,0.0321474352318897,,0.00885055111246111,0.029518992796290847,,0.014430907079257278,0.025933440287446236,,0.021879083175136198,0.02491639947714787,,0.03582608261563963,0.03090142742192223,
foursquare-nyc,hccf,,,test-frame,600,hccf__foursquare-nyc__clw0.001,0.006020759081796435,0.03193077838700384,,0.008671843199389585,0.029120109825227603,,0.014430907079257278,0.02588437166190941,,0.02193679323977147,0.024898375794684287,,0.03583620718838266,0.030840191090595572,
foursquare-nyc,hccf,,3,test-frame,50,base__foursquare-nyc__hccf__L3__tst,0.0,0.0,0.0,8.015286754898944e-05,0.0002422993121188214,1.6030573509797887e-05,8.015286754898944e-05,0.00015723567431508953,1.6030573509797887e-05,0.0005393669182583742,0.0004574028988905165,4.936968631737094e-05,0.0011561846848052878,0.0007391777954682847,6.658248698282148e-05
foursquare-nyc,hccf,,3,val-best-recall@20,10,base__foursquare-nyc__hccf__L3__val,0.00014186674049627832,0.0006499705346575574,4.728891349875944e-05,0.00016285221854546827,0.0005909006328926739,5.1486009108597436e-05,0.000379840887710586,0.0006322935589065846,7.630036566945863e-05,0.0008510194073384023,0.0007289757969054337,0.00010611201573911618,0.001526594206581955,0.0010610910419218884,0.00012879962269813375
foursquare-nyc,lightccn_multi,,,test-frame,120,foursquare-nyc__derived_e__softmax__global__ho_user,0.014826005706562177,0.079135658438628,,0.021173564305598604,0.07134563068151285,,0.030790971213888987,0.05881188230241281,,0.045176978285343,0.05543282039774128,,0.07317573957049738,0.06652548444595073,
